0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
3,15,7,14,10,19,16,13,6,1,21,22,5,4,0,18,2,20,17,8,11,12,9,
9,12,11,8,17,20,2,18,0,4,5,22,21,1,6,13,16,19,10,14,7,15,3,
16,4,14,2,17,15,9,21,20,7,0,10,18,12,1,3,22,6,19,11,5,13,8,
8,13,5,11,19,6,22,3,1,12,18,10,0,7,20,21,9,15,17,2,14,4,16,
20,10,6,18,12,5,1,16,7,4,22,11,19,14,3,15,17,8,2,9,13,0,21,
21,0,13,9,2,8,17,15,3,14,19,11,22,4,7,16,1,5,12,18,6,10,20,
1,22,13,11,7,10,0,14,8,4,9,20,21,16,15,6,2,3,12,18,17,5,19,
19,5,17,18,12,3,2,6,15,16,21,20,9,4,8,14,0,10,7,11,13,22,1,
1,12,15,6,4,0,21,17,5,13,2,11,8,18,7,3,22,20,10,19,16,14,9,
9,14,16,19,10,20,22,3,7,18,8,11,2,13,5,17,21,0,4,6,15,12,1,
20,7,15,17,21,2,11,5,0,12,9,1,14,19,13,8,16,22,3,6,10,4,18,
18,4,10,6,3,22,16,8,13,19,14,1,9,12,0,5,11,2,21,17,15,7,20,
14,8,15,9,6,18,20,17,7,12,3,16,13,11,22,0,19,2,5,4,1,21,10,
10,21,1,4,5,2,19,0,22,11,13,16,3,12,7,17,20,18,6,9,15,8,14,
6,9,15,20,16,5,22,1,8,19,13,4,0,7,10,2,14,3,21,11,17,18,12,
12,18,17,11,21,3,14,2,10,7,0,4,13,19,8,1,22,5,16,20,15,9,6,
5,19,21,1,0,22,12,14,15,3,9,10,2,8,18,20,16,6,13,17,4,7,11,
11,7,4,17,13,6,16,20,18,8,2,10,9,3,15,14,12,22,0,1,21,19,5,
9,3,15,7,22,17,19,1,20,5,11,4,10,8,16,0,12,13,2,6,14,21,18,
18,21,14,6,2,13,12,0,16,8,10,4,11,5,20,1,19,17,22,7,15,3,9,
9,11,12,16,15,22,13,21,20,6,4,17,2,1,10,18,5,19,3,7,0,14,8,
8,14,0,7,3,19,5,18,10,1,2,17,4,6,20,21,13,22,15,16,12,11,9,
